
//////////////////////////////////////////////////////////
//////////////////////////////////////////////////////////
//////////////////////////////////////////////////////////

(355,1465,-485,440, 'West' , 'None' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'North' , 'None' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'North' , 'North' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'East' , 'None' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'East' , 'West' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'South' , 'North' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'North' , 'East' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'South' , 'East' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'South' , 'West' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'West' , 'East' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'West' , 'West' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'West' , 'North' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'South' , 'None' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'East' , 'North' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'North' , 'West' , 'Cross_junction' , 'NIL'),
(355,1465,-485,440, 'East' , 'East' , 'Cross_junction' , 'NIL'),
(356,1435,-485,440, 'None' , 'None' , 'Room' , 'E1-08-19'),
(357,1495,-485,440, 'None' , 'None' , 'Room' , 'E1-08-20'),
(358,1465,-500,440, 'East' , 'None' , 'T_junction' , 'NIL'),
(358,1465,-500,440, 'South' , 'None' , 'T_junction' , 'NIL'),
(358,1465,-500,440, 'West' , 'None' , 'T_junction' , 'NIL'),
(358,1465,-500,440, 'East' , 'North' , 'T_junction' , 'NIL'),
(358,1465,-500,440, 'East' , 'West' , 'T_junction' , 'NIL'),
(358,1465,-500,440, 'South' , 'East' , 'T_junction' , 'NIL'),
(358,1465,-500,440, 'South' , 'West' , 'T_junction' , 'NIL'),
(358,1465,-500,440, 'West' , 'North' , 'T_junction' , 'NIL'),
(358,1465,-500,440, 'West' , 'East' , 'T_junction' , 'NIL'),
(359,1425,-500,440, 'None' , 'None' , 'Room' , 'E1-08-18'),
(360,1675,-500,440, 'East' , 'None' , 'T_junction' , 'NIL'),
(360,1675,-500,440, 'South' , 'None' , 'T_junction' , 'NIL'),
(360,1675,-500,440, 'East' , 'North' , 'T_junction' , 'NIL'),
(360,1675,-500,440, 'East' , 'West' , 'T_junction' , 'NIL'),
(360,1675,-500,440, 'West' , 'North' , 'T_junction' , 'NIL'),
(360,1675,-500,440, 'South' , 'East' , 'T_junction' , 'NIL'),
(360,1675,-500,440, 'West' , 'None' , 'T_junction' , 'NIL'),
(360,1675,-500,440, 'South' , 'West' , 'T_junction' , 'NIL'),
(360,1675,-500,440, 'West' , 'East' , 'T_junction' , 'NIL'),
(361,1675,-480,440, 'None' , 'None' , 'Room' , 'E1-08-21'),
(362,1840,-500,440, 'East' , 'None' , 'T_junction' , 'NIL'),
(362,1840,-500,440, 'South' , 'None' , 'T_junction' , 'NIL'),
(362,1840,-500,440, 'West' , 'None' , 'T_junction' , 'NIL'),
(362,1840,-500,440, 'East' , 'North' , 'T_junction' , 'NIL'),
(362,1840,-500,440, 'East' , 'West' , 'T_junction' , 'NIL'),
(362,1840,-500,440, 'South' , 'East' , 'T_junction' , 'NIL'),
(362,1840,-500,440, 'South' , 'West' , 'T_junction' , 'NIL'),
(362,1840,-500,440, 'West' , 'North' , 'T_junction' , 'NIL'),
(362,1840,-500,440, 'West' , 'East' , 'T_junction' , 'NIL'),
(363,1840,-480,440, 'None' , 'None' , 'Room' , 'E1-08-23'),
(364,2110,-500,440, 'North' , 'None' , 'Corner' , 'NIL'),
(364,2110,-500,440, 'East' , 'None' , 'Corner' , 'NIL'),
(364,2110,-500,440, 'North' , 'West' , 'Corner' , 'NIL'),
(364,2110,-500,440, 'East' , 'East' , 'Corner' , 'NIL'),
(365,2110,-610,440, 'North' , 'None' , 'T_junction' , 'NIL'),
